time,data
0,1
0.001,7.8774
0.002,12.8367
0.003,14.7323
0.004,13.6092
0.005,10.5862
0.006,7.2811
0.007,5.06721
0.008,4.51511
0.009,5.26063
0.01,6.31657
0.011,6.62936
0.012,5.58241
0.013,3.20789
0.014,0.0468205
0.015,-3.21041
0.016,-6.06889
0.017,-8.36345
0.018,-10.1348
0.019,-11.3675
0.02,-11.7964
0.021,-10.9437
0.022,-8.39842
0.023,-4.18371
0.024,1.02337
0.025,6
0.026,9.41991
0.027,10.4415
0.028,9.14509
0.029,6.56949
0.03,4.28582
0.031,3.68163
0.032,5.28932
0.033,8.48964
0.034,11.7501
0.035,13.3006
0.036,11.9334
0.037,7.55518
0.038,1.23512
0.039,-5.25727
0.04,-10.1944
0.041,-12.5584
0.042,-12.338
0.043,-10.3569
0.044,-7.768
0.045,-5.49602
0.046,-3.90405
0.047,-2.81118
0.048,-1.78847
0.049,-0.519133
0.05,1
0.051,2.51913
0.052,3.78847
0.053,4.81118
0.054,5.90405
0.055,7.49602
0.056,9.768
0.057,12.3569
0.058,14.338
0.059,14.5584
0.06,12.1944
0.061,7.25727
0.062,0.764875
0.063,-5.55518
0.064,-9.93345
0.065,-11.3006
0.066,-9.75014
0.067,-6.48964
0.068,-3.28932
0.069,-1.68163
0.07,-2.28582
0.071,-4.56949
0.072,-7.14509
0.073,-8.4415
0.074,-7.41991
0.075,-4
0.076,0.976627
0.077,6.18371
0.078,10.3984
0.079,12.9437
0.08,13.7964
0.081,13.3675
0.082,12.1348
0.083,10.3635
0.084,8.06889
0.085,5.21041
0.086,1.95318
0.087,-1.20789
0.088,-3.58241
0.089,-4.62936
0.09,-4.31657
0.091,-3.26063
0.092,-2.51511
0.093,-3.06721
0.094,-5.2811
0.095,-8.58619
0.096,-11.6092
0.097,-12.7323
0.098,-10.8367
0.099,-5.8774
0.1,1
0.101,7.8774
0.102,12.8367
0.103,14.7323
0.104,13.6092
0.105,10.5862
0.106,7.2811
0.107,5.06721
0.108,4.51511
0.109,5.26063
0.11,6.31657
0.111,6.62936
